time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-01T17:10:45.720Z,38.8353348,-122.7816696,1.77,2.51,md,45,57,0.007438,0.06,nc,nc73529836,2021-03-01T19:03:47.026Z,"5km WNW of Cobb, CA",earthquake,0.17,0.24,0.12,24,automatic,nc,nc
2021-03-01T16:52:44.005Z,60.2173,-152.6524,102.7,3.3,ml,,,,0.76,ak,ak0212ri2zvm,2021-03-01T18:40:57.245Z,"57 km WNW of Ninilchik, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-03-01T16:36:28.230Z,40.598835,-125.2559967,20.38,3.16,ml,24,320,0.7108,0.16,nc,nc73529816,2021-03-01T18:11:05.347Z,"84km W of Ferndale, CA",earthquake,10.1,15.72,0.101,7,automatic,nc,nc
2021-03-01T16:35:48.606Z,64.0644,-22.1253,10,4.9,mb,,65,0.768,0.6,us,us7000del6,2021-03-01T17:57:46.672Z,"6 km SW of Álftanes, Iceland",earthquake,6.3,1.9,0.042,178,reviewed,us,us
2021-03-01T16:32:03.621Z,51.806,-174.6448,72.42,4.2,mb,,124,0.483,0.34,us,us7000del5,2021-03-01T17:31:39.040Z,"53 km SW of Atka, Alaska",earthquake,8.8,7.1,0.079,45,reviewed,us,us
2021-03-01T15:17:18.880Z,32.749,-115.826,10.66,2.72,ml,44,80,0.1297,0.29,ci,ci39805504,2021-03-01T18:54:50.116Z,"16km E of Ocotillo, CA",earthquake,0.46,0.84,0.168,26,automatic,ci,ci
2021-03-01T14:29:40.770Z,19.3373336791992,-156.360992431641,11.6999998092651,2.76,ml,31,296,,0.209999993,hv,hv72368012,2021-03-01T15:11:53.040Z,"49 km WSW of Kahaluu-Keauhou, Hawaii",earthquake,6.75,9.92000008,5.16,3,automatic,hv,hv
2021-03-01T14:24:02.890Z,34.39566667,-97.4245,5.6,2.6,ml,87,48,0.05128993517,0.28,ok,ok2021eexe,2021-03-01T15:04:40.040Z,"9 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.23,16,reviewed,ok,ok
2021-03-01T14:19:10.280Z,17.9651,-66.8296,15,3.03,md,22,183,0.0506,0.24,pr,pr2021060009,2021-03-01T14:54:40.040Z,"3 km SSW of Indios, Puerto Rico",earthquake,0.7,0.48,0.28,10,reviewed,pr,pr
2021-03-01T13:38:07.167Z,31.68148696,-104.4226906,6.799975586,3.1,ml,27,51,0.06780132049,0.3,tx,tx2021eevo,2021-03-01T17:33:34.040Z,"54 km S of Whites City, New Mexico",earthquake,0.9511493642,1.125656318,0.1,14,reviewed,tx,tx
2021-03-01T11:24:39.931Z,36.8655,-104.9956,3.34,3.4,ml,,86,0.042,0.82,us,us7000dejr,2021-03-01T15:47:11.114Z,"31 km S of Stonewall Gap, Colorado",earthquake,2,4.5,0.046,62,reviewed,us,us
2021-03-01T11:10:07.310Z,17.8306,-66.8658,14,2.69,md,12,229,0.1451,0.32,pr,pr2021060007,2021-03-01T11:27:49.705Z,"16 km SSE of Guánica, Puerto Rico",earthquake,1.03,1.53,0.21,6,reviewed,pr,pr
2021-03-01T10:24:47.899Z,35.8535,-98.19816667,7.41,2.52,ml,98,29,0,0.25,ok,ok2021eeph,2021-03-01T14:49:18.992Z,"14 km SSW of Loyal, Oklahoma",earthquake,,0.6,0.24,43,reviewed,ok,ok
2021-03-01T10:06:29.076Z,-17.8057,167.5624,19.4,5.3,mb,,41,2.37,0.92,us,us7000dejc,2021-03-01T11:30:02.527Z,"80 km W of Port-Vila, Vanuatu",earthquake,7.1,2,0.078,55,reviewed,us,us
2021-03-01T08:50:41.685Z,44.3236,-115.2027,10,3.5,ml,,71,0.202,0.71,us,us7000deis,2021-03-01T16:43:43.510Z,"24 km WNW of Stanley, Idaho",earthquake,1.4,2,0.031,136,reviewed,us,us
2021-03-01T07:34:22.840Z,17.9858,-68.1521,86,3.37,md,13,200,0.5757,0.16,pr,pr2021060005,2021-03-01T08:20:21.573Z,"64 km SE of Boca de Yuma, Dominican Republic",earthquake,1.61,1.04,0.15,11,reviewed,pr,pr
2021-03-01T07:13:46.050Z,36.5933342,-121.0924988,6.71,2.53,md,40,73,0.04511,0.16,nc,nc73529631,2021-03-01T15:50:21.714Z,"8km NNE of Pinnacles, CA",earthquake,0.31,0.88,0.18,40,automatic,nc,nc
2021-03-01T07:13:37.354Z,39.4133,15.8055,245.77,4.2,mb,,69,0.579,0.59,us,us7000deid,2021-03-01T10:16:08.040Z,"15 km SW of Acquappesa, Italy",earthquake,5.4,5.4,0.118,20,reviewed,us,us
2021-03-01T07:04:53.521Z,59.1315,-135.9935,14,3.3,ml,,,,0.82,ak,ak0212rcftvl,2021-03-01T18:57:54.286Z,"30 km SSW of Klukwan, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-03-01T06:29:29.676Z,58.9921,-141.5078,0,2.5,ml,,,,0.75,ak,ak0212rbzpxr,2021-03-01T06:36:34.653Z,"118 km WSW of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-03-01T06:17:09.090Z,34.1803333,-117.559,9.23,2.86,ml,144,22,0.05946,0.21,ci,ci39805264,2021-03-01T17:45:06.847Z,"7km NNE of Rancho Cucamonga, CA",earthquake,0.12,0.29,0.166,185,reviewed,ci,ci
2021-03-01T05:59:19.217Z,58.7387,-137.4054,5.6,2.9,ml,,,,0.73,ak,ak0212rbkodj,2021-03-01T06:08:01.345Z,"86 km NW of Elfin Cove, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-03-01T04:56:08.160Z,18.2778,-68.0186,104,3.46,md,23,156,0.4329,0.25,pr,pr2021060004,2021-03-01T06:45:23.655Z,"52 km SE of Punta Cana, Dominican Republic",earthquake,1.75,1.21,0.11,16,reviewed,pr,pr
2021-03-01T04:35:53.259Z,64.004,-161.1461,0,2.7,ml,,,,0.65,ak,ak0212rau67i,2021-03-01T05:05:17.040Z,"22 km NW of Unalakleet, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-03-01T03:57:38.475Z,69.1978,-145.8863,10,3.4,ml,,201,1.476,0.4,us,us7000deh9,2021-03-01T04:14:16.040Z,"northern Alaska",earthquake,4.4,2,0.055,44,reviewed,us,us
2021-03-01T03:29:49.469Z,-13.1729,166.6639,50.67,5.4,mww,,41,2.32,1.34,us,us7000degw,2021-03-01T17:04:05.298Z,"123 km NW of Sola, Vanuatu",earthquake,7.6,4.9,0.086,13,reviewed,us,us
2021-03-01T02:37:35.260Z,44.3616667,-115.2043333,11.46,3.1,ml,11,74,0.227,0.21,mb,mb80489709,2021-03-01T16:49:31.320Z,"26 km NW of Stanley, Idaho",earthquake,0.43,0.73,0.215,22,reviewed,mb,mb
2021-03-01T01:40:51.934Z,-17.7372,-72.6412,10,4.4,mb,,148,2.276,0.82,us,us7000degb,2021-03-01T16:07:35.135Z,"100 km SW of Islay (Matarani), Peru",earthquake,8.7,2,0.22,6,reviewed,us,us
